Payment_Id,Subscription_Id,Payment_Date,Amount,Payment_Status,Payment_Method
PAY_500035,SUB_30015,2025-12-04,499.0,Failed,ACH
PAY_500036,SUB_30015,2026-01-03,-499.0,Refunded,STRIPE
PAY_500037,SUB_30016,2025-10-24,79.0,Paid,PAYPAL
PAY_500038,SUB_30017,2025-01-27,79.0,Paid,ACH
PAY_500039,SUB_30018,2025-11-25,499.0,Failed,ACH
PAY_500040,SUB_30019,2025-04-25,79.0,Failed,ACH
PAY_500041,SUB_30019,2025-05-27,79.0,Paid,STRIPE
PAY_500042,SUB_30019,2025-06-23,79.0,Failed,ACH
PAY_500043,SUB_30020,2025-11-15,-499.0,Refunded,ACH
PAY_500044,SUB_30020,2025-12-17,-499.0,Refunded,PAYPAL
PAY_500045,SUB_30020,2026-01-15,499.0,Failed,PAYPAL
PAY_500046,SUB_30020,2026-02-14,499.0,Paid,CREDIT_CARD
PAY_500047,SUB_30021,2025-01-22,29.0,Paid,STRIPE
PAY_500048,SUB_30021,2025-02-19,29.0,Failed,STRIPE
PAY_500049,SUB_30021,2025-03-20,-29.0,Refunded,CREDIT_CARD
PAY_500050,SUB_30021,2025-04-22,-29.0,Refunded,ACH
PAY_500051,SUB_30022,2025-09-10,79.0,Paid,PAYPAL
PAY_500052,SUB_30023,2025-07-25,79.0,Paid,CREDIT_CARD
PAY_500053,SUB_30024,2025-05-01,29.0,Paid,CREDIT_CARD
PAY_500054,SUB_30025,2025-02-19,-79.0,Refunded,ACH
PAY_500055,SUB_30026,2025-05-30,79.0,Paid,ACH
PAY_500056,SUB_30026,2025-06-28,-79.0,Refunded,PAYPAL
PAY_500057,SUB_30026,2025-07-29,79.0,Failed,STRIPE
PAY_500058,SUB_30027,2026-01-01,79.0,Paid,PAYPAL
PAY_500059,SUB_30027,2026-01-29,79.0,Paid,CREDIT_CARD
PAY_500061,SUB_30029,2025-11-26,79.0,Failed,CREDIT_CARD
PAY_500062,SUB_30029,2025-12-23,79.0,Paid,PAYPAL
PAY_500063,SUB_30030,2025-09-12,-79.0,Refunded,ACH
PAY_500064,SUB_30031,2025-10-25,-79.0,Refunded,STRIPE
PAY_500065,SUB_30031,2025-11-27,79.0,Failed,PAYPAL
PAY_500066,SUB_30031,2025-12-27,79.0,Paid,ACH
PAY_500067,SUB_30031,2026-01-26,-79.0,Refunded,CREDIT_CARD
PAY_500068,SUB_30032,2025-09-08,79.0,Paid,ACH
PAY_500069,SUB_30032,2025-10-05,79.0,Paid,ACH
PAY_500070,SUB_30033,2025-01-06,79.0,Paid,CREDIT_CARD
PAY_500071,SUB_30033,2025-02-07,79.0,Paid,PAYPAL
PAY_500072,SUB_30033,2025-03-08,-79.0,Refunded,ACH
PAY_500073,SUB_30034,2025-10-24,499.0,Paid,PAYPAL
PAY_500074,SUB_30034,2025-11-20,499.0,Paid,CREDIT_CARD
PAY_500075,SUB_30034,2025-12-20,499.0,Paid,PAYPAL
PAY_500076,SUB_30035,2025-05-20,29.0,Paid,CREDIT_CARD
PAY_500078,SUB_30037,2025-02-24,-29.0,Refunded,PAYPAL
PAY_500079,SUB_30038,2025-08-18,29.0,Paid,CREDIT_CARD
PAY_500080,SUB_30039,2025-10-24,499.0,Paid,PAYPAL
PAY_500081,SUB_30040,2025-08-06,79.0,Failed,CREDIT_CARD
PAY_500082,SUB_30040,2025-09-05,-79.0,Refunded,STRIPE
PAY_500083,SUB_30041,2025-06-13,499.0,Paid,CREDIT_CARD
PAY_500084,SUB_30042,2025-11-13,79.0,Paid,CREDIT_CARD
PAY_500085,SUB_30042,2025-12-13,79.0,Paid,PAYPAL
PAY_500086,SUB_30042,2026-01-11,79.0,Paid,CREDIT_CARD
PAY_500088,SUB_30044,2025-03-16,-499.0,Refunded,ACH
PAY_500089,SUB_30044,2025-04-17,499.0,Paid,CREDIT_CARD
PAY_500090,SUB_30045,2025-10-23,-79.0,Refunded,CREDIT_CARD
PAY_500091,SUB_30045,2025-11-22,79.0,Paid,STRIPE
PAY_500092,SUB_30046,2025-10-20,499.0,Paid,CREDIT_CARD
PAY_500093,SUB_30046,2025-11-17,499.0,Paid,CREDIT_CARD
PAY_500094,SUB_30046,2025-12-17,-499.0,Refunded,ACH
PAY_500095,SUB_30047,2025-04-13,29.0,Failed,ACH
PAY_500096,SUB_30048,2025-03-01,29.0,Failed,STRIPE
PAY_500097,SUB_30049,2025-01-24,-79.0,Refunded,PAYPAL
PAY_500098,SUB_30049,2025-02-23,79.0,Paid,CREDIT_CARD
PAY_500099,SUB_30050,2025-03-24,499.0,Paid,STRIPE
PAY_500100,SUB_30050,2025-04-23,499.0,Paid,PAYPAL
PAY_500101,SUB_30050,2025-05-22,499.0,Paid,STRIPE
PAY_500102,SUB_30051,2025-03-22,29.0,Failed,STRIPE
PAY_500103,SUB_30051,2025-04-19,-29.0,Refunded,ACH
PAY_500104,SUB_30052,2025-05-22,29.0,Paid,ACH
PAY_500105,SUB_30052,2025-06-23,29.0,Paid,STRIPE
PAY_500106,SUB_30052,2025-07-23,29.0,Failed,ACH
PAY_500107,SUB_30053,2025-09-14,79.0,Failed,STRIPE
PAY_500108,SUB_30053,2025-10-12,79.0,Failed,STRIPE
PAY_500109,SUB_30053,2025-11-11,79.0,Paid,CREDIT_CARD
PAY_500110,SUB_30054,2025-01-17,79.0,Failed,ACH
PAY_500111,SUB_30054,2025-02-16,79.0,Paid,STRIPE
PAY_500112,SUB_30055,2025-10-20,29.0,Paid,ACH
PAY_500113,SUB_30055,2025-11-18,29.0,Paid,CREDIT_CARD
PAY_500114,SUB_30055,2025-12-18,29.0,Paid,ACH
PAY_500115,SUB_30056,2025-07-16,-499.0,Refunded,ACH
PAY_500116,SUB_30056,2025-08-14,499.0,Paid,CREDIT_CARD
PAY_500117,SUB_30057,2025-10-09,79.0,Paid,PAYPAL
PAY_500118,SUB_30058,2025-11-15,79.0,Failed,ACH
PAY_500119,SUB_30058,2025-12-16,79.0,Paid,PAYPAL
PAY_500120,SUB_30059,2025-06-18,79.0,Paid,CREDIT_CARD
PAY_500121,SUB_30059,2025-07-15,79.0,Failed,CREDIT_CARD
PAY_500122,SUB_30060,2025-10-18,-79.0,Refunded,ACH
PAY_500123,SUB_30061,2025-08-01,79.0,Paid,STRIPE
PAY_500124,SUB_30061,2025-09-03,79.0,Failed,STRIPE
PAY_500125,SUB_30061,2025-09-30,-79.0,Refunded,CREDIT_CARD
PAY_500126,SUB_30062,2025-06-14,29.0,Failed,ACH
PAY_500129,SUB_30064,2025-11-19,-79.0,Refunded,STRIPE
PAY_500130,SUB_30065,2025-02-16,79.0,Paid,PAYPAL
PAY_500131,SUB_30065,2025-03-16,79.0,Paid,PAYPAL
PAY_500132,SUB_30065,2025-04-15,-79.0,Refunded,CREDIT_CARD
PAY_500133,SUB_30066,2025-12-02,499.0,Paid,ACH
PAY_500134,SUB_30067,2025-09-15,79.0,Paid,ACH
PAY_500135,SUB_30067,2025-10-15,79.0,Paid,ACH
PAY_500136,SUB_30067,2025-11-14,79.0,Paid,CREDIT_CARD
PAY_500137,SUB_30067,2025-12-14,79.0,Failed,STRIPE
PAY_500138,SUB_30068,2025-11-05,29.0,Failed,STRIPE
PAY_500139,SUB_30068,2025-12-07,29.0,Failed,STRIPE
PAY_500140,SUB_30068,2026-01-04,29.0,Failed,ACH
PAY_500141,SUB_30068,2026-02-06,29.0,Paid,PAYPAL
PAY_500142,SUB_30069,2025-04-26,29.0,Paid,ACH
PAY_500143,SUB_30069,2025-05-25,29.0,Failed,PAYPAL
PAY_500144,SUB_30070,2025-07-12,-29.0,Refunded,STRIPE
PAY_500145,SUB_30070,2025-08-08,-29.0,Refunded,PAYPAL
PAY_500146,SUB_30071,2025-03-10,-499.0,Refunded,ACH
PAY_500147,SUB_30071,2025-04-11,499.0,Paid,STRIPE
PAY_500148,SUB_30071,2025-05-10,499.0,Failed,PAYPAL
PAY_500149,SUB_30071,2025-06-11,499.0,Paid,CREDIT_CARD
PAY_500150,SUB_30072,2025-01-23,29.0,Failed,ACH
PAY_500151,SUB_30072,2025-02-24,29.0,Failed,PAYPAL
PAY_500152,SUB_30072,2025-03-23,29.0,Failed,CREDIT_CARD
PAY_500153,SUB_30072,2025-04-25,29.0,Paid,PAYPAL
PAY_500154,SUB_30073,2025-01-04,499.0,Failed,PAYPAL
PAY_500155,SUB_30073,2025-02-05,499.0,Failed,PAYPAL
PAY_500156,SUB_30074,2025-04-02,-499.0,Refunded,ACH
PAY_500157,SUB_30074,2025-05-05,499.0,Paid,ACH
PAY_500158,SUB_30075,2025-03-13,-79.0,Refunded,CREDIT_CARD
PAY_500159,SUB_30075,2025-04-12,-79.0,Refunded,CREDIT_CARD
PAY_500160,SUB_30076,2025-11-10,29.0,Failed,CREDIT_CARD
PAY_500161,SUB_30076,2025-12-10,29.0,Paid,ACH
PAY_500162,SUB_30076,2026-01-12,29.0,Paid,CREDIT_CARD
PAY_500164,SUB_30078,2025-12-26,79.0,Paid,STRIPE
PAY_500165,SUB_30078,2026-01-25,79.0,Failed,PAYPAL
PAY_500166,SUB_30078,2026-02-25,79.0,Failed,CREDIT_CARD
PAY_500167,SUB_30079,2026-01-02,499.0,Paid,PAYPAL
PAY_500168,SUB_30079,2026-02-03,499.0,Failed,STRIPE
PAY_500169,SUB_30080,2025-09-10,79.0,Paid,ACH
PAY_500170,SUB_30080,2025-10-07,79.0,Failed,CREDIT_CARD
PAY_500171,SUB_30080,2025-11-06,79.0,Paid,PAYPAL
PAY_500172,SUB_30080,2025-12-08,79.0,Paid,ACH
PAY_500173,SUB_30081,2025-08-06,29.0,Failed,ACH
PAY_500174,SUB_30081,2025-09-07,29.0,Paid,PAYPAL
PAY_500175,SUB_30082,2025-07-20,79.0,Paid,STRIPE
PAY_500176,SUB_30082,2025-08-19,79.0,Paid,ACH
PAY_500177,SUB_30082,2025-09-15,79.0,Paid,CREDIT_CARD
PAY_500178,SUB_30083,2025-10-07,29.0,Failed,STRIPE
PAY_500179,SUB_30083,2025-11-07,-29.0,Refunded,CREDIT_CARD
PAY_500180,SUB_30083,2025-12-05,29.0,Paid,ACH
PAY_500181,SUB_30084,2025-02-03,-79.0,Refunded,PAYPAL
PAY_500182,SUB_30085,2025-08-21,79.0,Paid,CREDIT_CARD
PAY_500183,SUB_30086,2025-08-12,79.0,Failed,STRIPE
PAY_500184,SUB_30086,2025-09-11,-79.0,Refunded,PAYPAL
PAY_500185,SUB_30087,2025-10-01,-79.0,Refunded,CREDIT_CARD
PAY_500186,SUB_30088,2025-08-08,29.0,Failed,CREDIT_CARD
PAY_500187,SUB_30088,2025-09-05,29.0,Failed,PAYPAL
PAY_500188,SUB_30088,2025-10-05,29.0,Paid,CREDIT_CARD
PAY_500189,SUB_30089,2025-03-30,-79.0,Refunded,ACH
PAY_500190,SUB_30090,2025-12-11,-79.0,Refunded,CREDIT_CARD
PAY_500191,SUB_30091,2025-09-25,29.0,Paid,CREDIT_CARD
PAY_500192,SUB_30092,2025-02-06,-79.0,Refunded,ACH
PAY_500193,SUB_30092,2025-03-08,79.0,Paid,CREDIT_CARD
PAY_500194,SUB_30093,2025-12-20,29.0,Failed,STRIPE
PAY_500195,SUB_30094,2025-04-10,29.0,Failed,PAYPAL
PAY_500196,SUB_30095,2025-05-15,499.0,Failed,PAYPAL
PAY_500197,SUB_30095,2025-06-13,499.0,Paid,ACH
PAY_500198,SUB_30095,2025-07-13,499.0,Paid,STRIPE
PAY_500199,SUB_30095,2025-08-11,499.0,Failed,CREDIT_CARD
PAY_500200,SUB_30096,2025-02-12,-79.0,Refunded,STRIPE
PAY_500201,SUB_30096,2025-03-12,79.0,Failed,STRIPE
PAY_500202,SUB_30097,2025-04-05,79.0,Paid,ACH
PAY_500203,SUB_30098,2025-01-26,499.0,Paid,CREDIT_CARD
PAY_500204,SUB_30099,2025-04-09,-79.0,Refunded,PAYPAL
PAY_500205,SUB_30099,2025-05-11,79.0,Paid,STRIPE
PAY_500206,SUB_30100,2025-09-19,-29.0,Refunded,CREDIT_CARD
PAY_500207,SUB_30101,2025-07-05,29.0,Paid,STRIPE
PAY_500208,SUB_30102,2025-05-09,-29.0,Refunded,PAYPAL
PAY_500209,SUB_30102,2025-06-08,29.0,Paid,STRIPE
PAY_500210,SUB_30102,2025-07-06,-29.0,Refunded,CREDIT_CARD
PAY_500211,SUB_30102,2025-08-07,29.0,Failed,PAYPAL
PAY_500212,SUB_30103,2025-02-04,79.0,Failed,CREDIT_CARD
PAY_500213,SUB_30103,2025-03-06,79.0,Failed,ACH
PAY_500214,SUB_30104,2025-04-23,499.0,Paid,CREDIT_CARD
PAY_500215,SUB_30104,2025-05-23,499.0,Paid,STRIPE
PAY_500216,SUB_30104,2025-06-20,-499.0,Refunded,STRIPE
PAY_500217,SUB_30105,2025-11-30,499.0,Paid,STRIPE
PAY_500218,SUB_30105,2025-12-29,499.0,Paid,PAYPAL
PAY_500219,SUB_30105,2026-01-27,499.0,Paid,ACH
PAY_500220,SUB_30106,2025-09-30,-499.0,Refunded,PAYPAL
PAY_500221,SUB_30106,2025-11-01,-499.0,Refunded,ACH
PAY_500222,SUB_30106,2025-11-30,499.0,Paid,CREDIT_CARD
PAY_500223,SUB_30106,2026-01-01,499.0,Paid,PAYPAL
PAY_500224,SUB_30107,2025-06-26,499.0,Paid,ACH
PAY_500225,SUB_30108,2025-04-01,499.0,Paid,ACH
PAY_500226,SUB_30108,2025-05-01,499.0,Paid,STRIPE
PAY_500227,SUB_30108,2025-06-01,499.0,Failed,ACH
PAY_500228,SUB_30109,2025-04-10,499.0,Failed,STRIPE
PAY_500229,SUB_30109,2025-05-09,-499.0,Refunded,ACH
PAY_500230,SUB_30110,2025-11-22,-29.0,Refunded,PAYPAL
PAY_500231,SUB_30110,2025-12-25,29.0,Paid,PAYPAL
PAY_500232,SUB_30110,2026-01-23,-29.0,Refunded,CREDIT_CARD
PAY_500233,SUB_30110,2026-02-20,29.0,Failed,ACH
PAY_500234,SUB_30111,2025-03-07,29.0,Paid,ACH
PAY_500235,SUB_30111,2025-04-04,29.0,Paid,ACH
PAY_500236,SUB_30111,2025-05-04,29.0,Paid,CREDIT_CARD
PAY_500237,SUB_30111,2025-06-05,29.0,Failed,CREDIT_CARD
PAY_500238,SUB_30112,2025-09-25,79.0,Failed,CREDIT_CARD
PAY_500239,SUB_30112,2025-10-27,79.0,Paid,CREDIT_CARD
PAY_500240,SUB_30112,2025-11-25,-79.0,Refunded,PAYPAL
PAY_500241,SUB_30113,2025-08-02,499.0,Failed,PAYPAL
PAY_500242,SUB_30114,2025-01-23,499.0,Paid,STRIPE
PAY_500243,SUB_30115,2025-11-19,-499.0,Refunded,ACH
PAY_500244,SUB_30116,2025-03-14,499.0,Failed,PAYPAL
PAY_500245,SUB_30117,2025-11-17,-79.0,Refunded,CREDIT_CARD
PAY_500246,SUB_30118,2025-04-30,29.0,Paid,STRIPE
PAY_500247,SUB_30119,2025-02-25,-79.0,Refunded,CREDIT_CARD
PAY_500248,SUB_30119,2025-03-26,79.0,Paid,STRIPE
PAY_500249,SUB_30119,2025-04-23,-79.0,Refunded,PAYPAL
PAY_500250,SUB_30120,2025-08-09,-29.0,Refunded,CREDIT_CARD
PAY_500251,SUB_30121,2025-07-24,499.0,Failed,ACH
PAY_500252,SUB_30121,2025-08-22,499.0,Paid,ACH
PAY_500253,SUB_30121,2025-09-23,499.0,Paid,PAYPAL
PAY_500254,SUB_30121,2025-10-20,-499.0,Refunded,PAYPAL
PAY_500255,SUB_30122,2025-08-21,79.0,Failed,ACH
PAY_500256,SUB_30123,2025-02-20,79.0,Paid,STRIPE
PAY_500257,SUB_30124,2025-03-03,29.0,Failed,PAYPAL
PAY_500261,SUB_30126,2025-11-25,-79.0,Refunded,STRIPE
PAY_500262,SUB_30126,2025-12-25,79.0,Paid,STRIPE
PAY_500265,SUB_30128,2025-04-06,79.0,Paid,STRIPE
PAY_500266,SUB_30129,2025-07-09,-79.0,Refunded,STRIPE
PAY_500267,SUB_30129,2025-08-09,79.0,Paid,STRIPE
PAY_500268,SUB_30129,2025-09-05,79.0,Failed,CREDIT_CARD
PAY_500269,SUB_30130,2025-12-31,29.0,Paid,PAYPAL
PAY_500270,SUB_30130,2026-01-30,29.0,Paid,STRIPE
PAY_500271,SUB_30130,2026-03-03,29.0,Failed,PAYPAL
PAY_500272,SUB_30130,2026-03-31,29.0,Paid,PAYPAL
PAY_500273,SUB_30131,2025-09-25,29.0,Paid,CREDIT_CARD
PAY_500274,SUB_30132,2025-06-03,29.0,Paid,CREDIT_CARD
PAY_500275,SUB_30133,2025-08-17,79.0,Paid,CREDIT_CARD
PAY_500276,SUB_30134,2025-07-14,-499.0,Refunded,PAYPAL
PAY_500277,SUB_30134,2025-08-16,-499.0,Refunded,STRIPE
PAY_500278,SUB_30134,2025-09-13,499.0,Paid,ACH
PAY_500279,SUB_30134,2025-10-12,499.0,Paid,PAYPAL
PAY_500280,SUB_30135,2025-02-20,79.0,Paid,CREDIT_CARD
PAY_500281,SUB_30135,2025-03-22,79.0,Paid,STRIPE
PAY_500282,SUB_30136,2025-09-01,79.0,Failed,CREDIT_CARD
PAY_500283,SUB_30137,2025-10-28,499.0,Paid,CREDIT_CARD
PAY_500284,SUB_30138,2025-08-02,79.0,Paid,CREDIT_CARD
PAY_500285,SUB_30139,2025-02-18,79.0,Failed,STRIPE
PAY_500286,SUB_30140,2025-05-01,29.0,Paid,CREDIT_CARD
PAY_500287,SUB_30140,2025-05-28,29.0,Failed,ACH
PAY_500288,SUB_30141,2025-03-13,499.0,Paid,ACH
PAY_500291,SUB_30143,2025-06-30,79.0,Paid,STRIPE
PAY_500292,SUB_30144,2025-03-28,29.0,Paid,ACH
PAY_500293,SUB_30145,2025-11-13,499.0,Paid,STRIPE
PAY_500294,SUB_30145,2025-12-15,499.0,Failed,CREDIT_CARD
PAY_500295,SUB_30146,2025-05-12,-79.0,Refunded,CREDIT_CARD
PAY_500296,SUB_30147,2025-05-01,79.0,Paid,CREDIT_CARD
PAY_500297,SUB_30147,2025-05-31,79.0,Paid,CREDIT_CARD
PAY_500298,SUB_30147,2025-07-03,79.0,Failed,CREDIT_CARD
PAY_500299,SUB_30147,2025-07-30,79.0,Paid,PAYPAL
PAY_500300,SUB_30148,2025-10-09,29.0,Paid,PAYPAL
PAY_500301,SUB_30149,2025-12-03,499.0,Failed,ACH
PAY_500302,SUB_30150,2025-12-20,79.0,Paid,STRIPE
PAY_500303,SUB_30150,2026-01-21,79.0,Failed,STRIPE
PAY_500304,SUB_30150,2026-02-20,79.0,Paid,PAYPAL
PAY_500305,SUB_30151,2025-09-29,79.0,Paid,PAYPAL
PAY_500306,SUB_30152,2025-08-25,79.0,Paid,CREDIT_CARD
PAY_500307,SUB_30153,2025-03-13,79.0,Paid,ACH
PAY_500308,SUB_30153,2025-04-13,79.0,Paid,CREDIT_CARD
PAY_500309,SUB_30153,2025-05-10,79.0,Paid,ACH
PAY_500310,SUB_30153,2025-06-11,79.0,Paid,CREDIT_CARD
PAY_500311,SUB_30154,2025-08-19,29.0,Paid,STRIPE
PAY_500312,SUB_30154,2025-09-17,29.0,Paid,CREDIT_CARD
PAY_500313,SUB_30155,2025-02-09,29.0,Paid,CREDIT_CARD
PAY_500314,SUB_30156,2025-09-06,499.0,Paid,ACH
PAY_500315,SUB_30156,2025-10-03,499.0,Paid,CREDIT_CARD
PAY_500316,SUB_30156,2025-11-05,499.0,Paid,CREDIT_CARD
PAY_500317,SUB_30157,2025-09-01,-29.0,Refunded,CREDIT_CARD
PAY_500318,SUB_30157,2025-09-30,29.0,Paid,ACH
PAY_500319,SUB_30157,2025-10-30,29.0,Failed,PAYPAL
PAY_500320,SUB_30158,2025-10-19,29.0,Paid,CREDIT_CARD
PAY_500321,SUB_30158,2025-11-16,29.0,Failed,CREDIT_CARD
PAY_500322,SUB_30158,2025-12-15,29.0,Paid,CREDIT_CARD
PAY_500323,SUB_30159,2025-08-13,79.0,Failed,PAYPAL
PAY_500324,SUB_30159,2025-09-13,79.0,Failed,ACH
PAY_500325,SUB_30159,2025-10-14,-79.0,Refunded,ACH
PAY_500326,SUB_30159,2025-11-12,-79.0,Refunded,CREDIT_CARD
PAY_500327,SUB_30160,2025-09-03,79.0,Paid,PAYPAL
PAY_500328,SUB_30161,2025-05-03,29.0,Failed,ACH
PAY_500329,SUB_30161,2025-06-03,-29.0,Refunded,PAYPAL
PAY_500330,SUB_30161,2025-07-01,-29.0,Refunded,CREDIT_CARD
PAY_500331,SUB_30162,2025-08-15,29.0,Paid,STRIPE
PAY_500332,SUB_30162,2025-09-13,29.0,Paid,STRIPE
PAY_500333,SUB_30162,2025-10-13,29.0,Paid,STRIPE
PAY_500334,SUB_30163,2025-01-16,79.0,Paid,STRIPE
PAY_500335,SUB_30164,2025-03-15,499.0,Paid,STRIPE
PAY_500336,SUB_30165,2025-05-30,-29.0,Refunded,CREDIT_CARD
PAY_500337,SUB_30166,2025-06-21,79.0,Failed,ACH
PAY_500338,SUB_30167,2025-04-21,79.0,Paid,STRIPE
PAY_500339,SUB_30168,2025-07-03,79.0,Paid,PAYPAL
PAY_500340,SUB_30168,2025-08-03,79.0,Paid,CREDIT_CARD
PAY_500341,SUB_30168,2025-09-04,79.0,Paid,STRIPE
PAY_500342,SUB_30168,2025-10-01,79.0,Paid,PAYPAL
PAY_500343,SUB_30169,2025-01-13,79.0,Failed,CREDIT_CARD
PAY_500344,SUB_30170,2025-04-18,-79.0,Refunded,PAYPAL
PAY_500345,SUB_30171,2025-12-09,79.0,Failed,PAYPAL
PAY_500346,SUB_30171,2026-01-09,79.0,Paid,ACH
PAY_500347,SUB_30171,2026-02-07,79.0,Paid,PAYPAL
PAY_500348,SUB_30171,2026-03-12,79.0,Failed,STRIPE
PAY_500349,SUB_30172,2025-03-11,79.0,Paid,CREDIT_CARD
PAY_500350,SUB_30172,2025-04-11,79.0,Failed,ACH
PAY_500351,SUB_30172,2025-05-11,79.0,Paid,CREDIT_CARD
PAY_500352,SUB_30172,2025-06-12,79.0,Paid,ACH
PAY_500353,SUB_30173,2025-12-10,499.0,Failed,CREDIT_CARD
PAY_500354,SUB_30174,2025-05-29,79.0,Paid,ACH
PAY_500355,SUB_30175,2025-08-27,-79.0,Refunded,ACH
PAY_500356,SUB_30176,2025-07-08,79.0,Paid,STRIPE
PAY_500357,SUB_30177,2025-04-01,499.0,Paid,CREDIT_CARD
PAY_500358,SUB_30178,2025-10-15,79.0,Failed,PAYPAL
PAY_500359,SUB_30178,2025-11-14,79.0,Paid,CREDIT_CARD
PAY_500360,SUB_30179,2025-08-06,79.0,Paid,ACH
PAY_500361,SUB_30179,2025-09-03,79.0,Paid,CREDIT_CARD
PAY_500362,SUB_30179,2025-10-03,79.0,Paid,CREDIT_CARD
PAY_500363,SUB_30179,2025-11-02,79.0,Failed,CREDIT_CARD
PAY_500364,SUB_30180,2025-12-14,29.0,Paid,ACH
PAY_500365,SUB_30180,2026-01-15,29.0,Paid,ACH
PAY_500366,SUB_30180,2026-02-14,-29.0,Refunded,PAYPAL
PAY_500367,SUB_30180,2026-03-14,29.0,Failed,STRIPE
PAY_500369,SUB_30182,2025-08-30,499.0,Failed,CREDIT_CARD
PAY_500370,SUB_30182,2025-10-01,499.0,Paid,PAYPAL
PAY_500372,SUB_30184,2025-11-03,499.0,Paid,STRIPE
PAY_500373,SUB_30184,2025-12-03,499.0,Paid,PAYPAL
PAY_500374,SUB_30184,2025-12-31,499.0,Paid,STRIPE
PAY_500375,SUB_30185,2025-08-22,29.0,Paid,PAYPAL
PAY_500376,SUB_30185,2025-09-22,-29.0,Refunded,CREDIT_CARD
PAY_500377,SUB_30185,2025-10-23,-29.0,Refunded,ACH
PAY_500378,SUB_30186,2025-06-26,499.0,Failed,STRIPE
PAY_500379,SUB_30186,2025-07-27,499.0,Paid,STRIPE
PAY_500380,SUB_30187,2025-11-07,79.0,Failed,PAYPAL
PAY_500381,SUB_30188,2025-06-26,79.0,Paid,CREDIT_CARD
PAY_500382,SUB_30189,2025-10-31,29.0,Paid,STRIPE
PAY_500383,SUB_30190,2025-08-21,-79.0,Refunded,PAYPAL
PAY_500384,SUB_30190,2025-09-21,79.0,Paid,ACH
PAY_500385,SUB_30191,2025-12-04,79.0,Paid,PAYPAL
PAY_500386,SUB_30192,2025-01-03,79.0,Paid,PAYPAL
PAY_500387,SUB_30192,2025-02-03,-79.0,Refunded,STRIPE
PAY_500388,SUB_30192,2025-03-06,79.0,Failed,PAYPAL
PAY_500389,SUB_30192,2025-04-03,79.0,Paid,PAYPAL
PAY_500390,SUB_30193,2025-08-18,79.0,Paid,PAYPAL
PAY_500391,SUB_30194,2025-12-29,-29.0,Refunded,STRIPE
PAY_500392,SUB_30195,2025-10-01,79.0,Failed,PAYPAL
PAY_500393,SUB_30196,2025-10-27,79.0,Failed,CREDIT_CARD
PAY_500394,SUB_30197,2025-05-28,-79.0,Refunded,PAYPAL
PAY_500395,SUB_30198,2025-06-03,29.0,Paid,CREDIT_CARD
PAY_500396,SUB_30199,2025-10-03,29.0,Paid,PAYPAL
PAY_500397,SUB_30199,2025-11-01,29.0,Paid,STRIPE
PAY_500398,SUB_30199,2025-11-29,29.0,Failed,PAYPAL
PAY_500399,SUB_30200,2025-05-05,29.0,Paid,PAYPAL
