Ticket_Id,Customer_Id,Ticket_Date,Priority,Category,Resolution_Time,Status
TCK_900065,CUST_2176,2025-12-10,Medium,Billing Bug,1,Open
TCK_900066,CUST_2176,2025-02-26,Medium,Feature Request,64,Resolved
TCK_900067,CUST_2176,2025-05-24,Critical,API Down,72,Closed
TCK_900071,CUST_2191,2025-06-02,High,Billing Bug,61,Resolved
TCK_900072,CUST_2191,2025-03-12,Medium,API Down,35,Open
TCK_900073,CUST_2193,2025-10-03,Critical,API Down,9,Closed
TCK_900074,CUST_2194,2025-10-07,Medium,API Down,45,Closed
TCK_900075,CUST_2195,2025-05-07,Low,Login Issue,69,Open
TCK_900076,CUST_2195,2025-06-29,Medium,Billing Bug,31,Resolved
TCK_900077,CUST_2195,2025-10-28,Critical,Billing Bug,44,Resolved
TCK_900078,CUST_2196,2025-09-06,Low,API Down,23,Resolved
TCK_900079,CUST_2196,2025-03-24,Medium,Feature Request,7,Resolved
TCK_900080,CUST_2196,2025-09-04,Medium,Billing Bug,60,Resolved
TCK_900081,CUST_2197,2025-07-19,Critical,API Down,10,Open
TCK_900082,CUST_2208,2025-04-23,Critical,Login Issue,17,Resolved
TCK_900083,CUST_2208,2025-11-19,Low,API Down,62,Resolved
TCK_900084,CUST_2208,2025-05-02,Medium,Login Issue,59,Closed
TCK_900085,CUST_2211,2025-02-24,Low,Billing Bug,24,Resolved
TCK_900086,CUST_2211,2025-04-08,Critical,Billing Bug,21,Closed
TCK_900087,CUST_2218,2025-09-14,Medium,Billing Bug,29,Resolved
TCK_900088,CUST_2218,2025-07-02,High,API Down,38,Closed
TCK_900089,CUST_2221,2025-06-24,Low,Feature Request,71,Open
TCK_900090,CUST_2221,2025-03-03,High,Billing Bug,21,Open
TCK_900091,CUST_2221,2025-08-10,Critical,API Down,59,Resolved
TCK_900092,CUST_2222,2025-06-24,Critical,API Down,42,Closed
TCK_900093,CUST_2228,2025-03-22,Critical,Feature Request,20,Open
TCK_900094,CUST_2231,2025-12-12,Medium,Login Issue,52,Closed
TCK_900095,CUST_2232,2025-08-22,Medium,Feature Request,18,Resolved
TCK_900096,CUST_2233,2025-11-28,Low,API Down,40,Resolved
TCK_900097,CUST_2234,2025-03-12,Low,Login Issue,50,Open
TCK_900098,CUST_2235,2025-03-17,Critical,Feature Request,65,Closed
TCK_900099,CUST_2235,2025-11-08,High,Billing Bug,24,Resolved
TCK_900100,CUST_2238,2025-11-06,Critical,Login Issue,31,Open
TCK_900101,CUST_2238,2025-03-20,High,API Down,20,Open
TCK_900102,CUST_2238,2025-09-16,High,Feature Request,66,Resolved
TCK_900103,CUST_2239,2025-04-15,Low,Login Issue,72,Closed
TCK_900104,CUST_2239,2025-04-15,High,API Down,66,Resolved
TCK_900105,CUST_2240,2025-11-21,Medium,Billing Bug,15,Open
TCK_900106,CUST_2242,2025-05-30,Low,Login Issue,47,Resolved
TCK_900107,CUST_2242,2025-04-01,Medium,API Down,26,Closed
TCK_900108,CUST_2243,2025-11-11,Low,Login Issue,47,Resolved
TCK_900109,CUST_2243,2025-04-27,Low,Billing Bug,49,Closed
TCK_900110,CUST_2246,2025-06-13,Medium,Feature Request,29,Resolved
TCK_900111,CUST_2249,2025-07-29,Critical,Billing Bug,44,Closed
TCK_900112,CUST_2252,2025-10-20,High,Feature Request,34,Open
TCK_900113,CUST_2254,2025-07-08,Critical,Feature Request,5,Open
TCK_900114,CUST_2254,2025-09-21,Medium,Billing Bug,32,Resolved
TCK_900115,CUST_2254,2025-04-29,Low,API Down,16,Open
TCK_900116,CUST_2258,2025-12-02,High,Billing Bug,28,Closed
TCK_900117,CUST_2258,2025-04-14,Critical,API Down,14,Closed
TCK_900118,CUST_2258,2025-08-31,Critical,Billing Bug,56,Closed
TCK_900119,CUST_2262,2025-04-17,High,Login Issue,3,Resolved
TCK_900120,CUST_2263,2025-09-24,Critical,Login Issue,48,Resolved
TCK_900121,CUST_2263,2025-02-08,Low,Feature Request,44,Closed
TCK_900122,CUST_2264,2025-08-20,Medium,Billing Bug,29,Open
TCK_900123,CUST_2264,2025-06-09,Critical,Feature Request,57,Closed
TCK_900124,CUST_2264,2025-08-06,Critical,Feature Request,51,Closed
TCK_900125,CUST_2265,2025-11-14,Low,API Down,15,Resolved
TCK_900126,CUST_2265,2025-05-25,High,Billing Bug,70,Closed
TCK_900127,CUST_2265,2025-02-21,Critical,Feature Request,46,Resolved
TCK_900130,CUST_2275,2025-12-06,High,API Down,49,Resolved
TCK_900131,CUST_2275,2025-06-17,Medium,Login Issue,24,Open
TCK_900132,CUST_2278,2025-10-23,High,API Down,18,Closed
TCK_900133,CUST_2278,2025-09-17,Medium,Login Issue,20,Resolved
TCK_900134,CUST_2281,2025-08-27,High,API Down,28,Open
TCK_900135,CUST_2281,2025-04-15,Critical,Login Issue,44,Resolved
TCK_900136,CUST_2281,2025-08-04,Low,Feature Request,62,Resolved
TCK_900137,CUST_2286,2025-08-24,Low,Login Issue,18,Open
TCK_900138,CUST_2286,2025-03-11,High,Billing Bug,40,Resolved
TCK_900139,CUST_2286,2025-02-20,Critical,Billing Bug,21,Closed
TCK_900140,CUST_2287,2025-11-08,Low,Billing Bug,59,Resolved
TCK_900141,CUST_2287,2025-07-03,Low,Login Issue,28,Open
TCK_900142,CUST_2291,2025-12-09,Low,API Down,9,Closed
TCK_900143,CUST_2293,2025-05-29,Low,Login Issue,24,Closed
TCK_900144,CUST_2293,2025-11-25,Low,Feature Request,31,Closed
TCK_900145,CUST_2294,2025-02-27,High,Login Issue,42,Resolved
TCK_900146,CUST_2294,2025-10-02,Critical,Login Issue,64,Resolved
TCK_900147,CUST_2294,2025-07-12,Low,Feature Request,38,Open
TCK_900148,CUST_2300,2025-07-09,Medium,API Down,32,Resolved
TCK_900149,CUST_2301,2025-10-21,Low,Feature Request,4,Open
TCK_900150,CUST_2302,2025-05-22,Medium,API Down,26,Closed
TCK_900151,CUST_2302,2025-07-14,High,API Down,72,Closed
TCK_900152,CUST_2305,2025-03-06,Low,Login Issue,30,Resolved
TCK_900153,CUST_2313,2025-04-30,High,Billing Bug,38,Closed
TCK_900154,CUST_2313,2025-12-17,Low,Billing Bug,53,Closed
TCK_900155,CUST_2313,2025-10-06,High,Billing Bug,46,Open
TCK_900156,CUST_2322,2025-07-19,Critical,API Down,20,Closed
TCK_900157,CUST_2322,2025-06-20,Critical,API Down,45,Resolved
TCK_900158,CUST_2322,2025-10-21,High,Login Issue,20,Closed
TCK_900159,CUST_2326,2025-03-31,Critical,Feature Request,20,Resolved
TCK_900160,CUST_2329,2025-10-21,Medium,Billing Bug,14,Open
TCK_900161,CUST_2329,2025-02-14,High,API Down,1,Open
TCK_900162,CUST_2330,2025-05-26,Low,Billing Bug,31,Open
TCK_900163,CUST_2330,2025-07-05,Critical,API Down,33,Open
TCK_900164,CUST_2333,2025-09-15,High,API Down,3,Open
TCK_900165,CUST_2333,2025-07-30,Critical,Login Issue,70,Open
TCK_900166,CUST_2333,2025-08-22,Medium,Login Issue,56,Closed
TCK_900167,CUST_2339,2025-12-01,Medium,Billing Bug,57,Resolved
TCK_900168,CUST_2339,2025-09-20,Critical,Feature Request,47,Open
TCK_900169,CUST_2339,2025-12-17,High,API Down,48,Resolved
TCK_900170,CUST_2342,2025-07-15,Low,Billing Bug,27,Closed
TCK_900171,CUST_2342,2025-07-05,Low,Login Issue,48,Open
TCK_900172,CUST_2342,2025-04-05,Medium,Billing Bug,56,Resolved
TCK_900173,CUST_2348,2025-05-02,Critical,API Down,1,Open
TCK_900174,CUST_2348,2025-06-23,Low,API Down,32,Resolved
TCK_900178,CUST_2354,2025-04-07,Critical,Billing Bug,21,Closed
TCK_900181,CUST_2360,2025-11-07,Critical,Billing Bug,58,Open
TCK_900182,CUST_2360,2025-04-02,Critical,Feature Request,41,Resolved
TCK_900183,CUST_2360,2025-07-11,Critical,Feature Request,41,Closed
TCK_900186,CUST_2366,2025-03-01,Medium,API Down,11,Closed
TCK_900187,CUST_2366,2025-03-03,Critical,Billing Bug,27,Closed
TCK_900188,CUST_2369,2025-11-23,Medium,Login Issue,9,Open
TCK_900189,CUST_2371,2025-12-16,High,API Down,48,Resolved
TCK_900190,CUST_2371,2025-06-17,High,Login Issue,12,Resolved
TCK_900191,CUST_2371,2025-09-04,Critical,API Down,5,Closed
TCK_900192,CUST_2372,2025-11-01,High,API Down,2,Resolved
TCK_900193,CUST_2372,2025-11-05,Medium,Login Issue,14,Closed
TCK_900194,CUST_2372,2025-09-07,Low,API Down,61,Open
TCK_900195,CUST_2373,2025-05-09,High,Feature Request,69,Open
TCK_900196,CUST_2373,2025-04-16,Medium,API Down,50,Open
TCK_900197,CUST_2377,2025-04-25,High,API Down,44,Closed
TCK_900198,CUST_2377,2025-05-23,Critical,Billing Bug,55,Resolved
TCK_900199,CUST_2380,2025-04-07,High,Login Issue,41,Open
TCK_900200,CUST_2380,2025-04-07,High,Login Issue,17,Closed
TCK_900201,CUST_2380,2025-03-04,Medium,Billing Bug,26,Resolved
TCK_900202,CUST_2381,2025-02-12,Critical,Billing Bug,20,Resolved
TCK_900203,CUST_2381,2025-12-04,Low,API Down,38,Closed
TCK_900204,CUST_2381,2025-08-13,Medium,Billing Bug,64,Closed
TCK_900205,CUST_2382,2025-07-29,Low,Billing Bug,4,Resolved
TCK_900206,CUST_2392,2025-04-29,Medium,Login Issue,50,Resolved
TCK_900207,CUST_2407,2025-05-25,Low,Billing Bug,55,Closed
TCK_900208,CUST_2407,2025-03-16,High,Login Issue,58,Closed
TCK_900209,CUST_2407,2025-07-15,Medium,Billing Bug,60,Resolved
TCK_900210,CUST_2410,2025-09-07,Critical,Billing Bug,53,Resolved
TCK_900211,CUST_2410,2025-04-04,Critical,Billing Bug,64,Resolved
TCK_900212,CUST_2410,2025-05-13,Low,Billing Bug,51,Open
TCK_900213,CUST_2416,2025-02-18,Low,Login Issue,61,Resolved
TCK_900214,CUST_2423,2025-12-01,High,API Down,55,Resolved
TCK_900215,CUST_2423,2025-10-21,High,Login Issue,68,Open
TCK_900216,CUST_2423,2025-10-04,Critical,Billing Bug,12,Open
TCK_900217,CUST_2424,2025-05-17,Medium,API Down,37,Open
TCK_900218,CUST_2424,2025-08-19,Critical,Login Issue,44,Open
TCK_900219,CUST_2424,2025-08-27,High,Feature Request,47,Closed
TCK_900220,CUST_2431,2025-02-10,High,Billing Bug,33,Resolved
TCK_900221,CUST_2432,2025-09-07,High,Billing Bug,14,Open
TCK_900222,CUST_2432,2025-10-27,Critical,Login Issue,31,Open
TCK_900223,CUST_2443,2025-05-21,Critical,Feature Request,39,Open
TCK_900224,CUST_2445,2025-05-12,Low,Login Issue,46,Resolved
TCK_900225,CUST_2445,2025-09-16,Critical,Login Issue,60,Closed
TCK_900226,CUST_2450,2025-09-12,Medium,Feature Request,37,Resolved
TCK_900227,CUST_2450,2025-09-27,Medium,API Down,41,Resolved
TCK_900228,CUST_2458,2025-02-27,Low,API Down,64,Open
TCK_900229,CUST_2458,2025-10-15,Medium,Feature Request,40,Resolved
TCK_900230,CUST_2458,2025-06-09,Medium,Feature Request,59,Closed
TCK_900231,CUST_2462,2025-02-25,Medium,API Down,32,Open
TCK_900232,CUST_2462,2025-05-18,High,Billing Bug,2,Resolved
TCK_900233,CUST_2462,2025-02-10,Low,Billing Bug,1,Closed
TCK_900234,CUST_2467,2025-05-23,Critical,API Down,3,Resolved
TCK_900235,CUST_2467,2025-12-14,Medium,Feature Request,14,Open
TCK_900236,CUST_2467,2025-04-30,Critical,API Down,60,Open
TCK_900237,CUST_2469,2025-08-23,High,Feature Request,51,Closed
TCK_900240,CUST_2473,2025-06-29,Medium,Billing Bug,12,Resolved
TCK_900243,CUST_2481,2025-07-30,Medium,Feature Request,68,Closed
TCK_900244,CUST_2481,2025-03-18,High,Billing Bug,45,Resolved
TCK_900245,CUST_2481,2025-05-31,Critical,Feature Request,56,Open
TCK_900246,CUST_2484,2025-12-14,Medium,Login Issue,59,Resolved
TCK_900247,CUST_2484,2025-02-04,Medium,Billing Bug,53,Resolved
TCK_900248,CUST_2484,2025-04-11,Critical,Login Issue,24,Resolved
TCK_900249,CUST_2486,2025-02-10,Medium,Login Issue,21,Open
TCK_900250,CUST_2486,2025-09-03,Low,Login Issue,53,Open
TCK_900251,CUST_2486,2025-11-24,High,Login Issue,3,Open
TCK_900252,CUST_2488,2025-04-17,Low,API Down,6,Open
TCK_900253,CUST_2488,2025-06-26,Critical,Feature Request,45,Closed
TCK_900254,CUST_2490,2025-06-15,High,Login Issue,51,Resolved
TCK_900255,CUST_2490,2025-03-30,Low,Billing Bug,41,Open
TCK_900256,CUST_2492,2025-08-26,Low,Login Issue,39,Open
TCK_900258,CUST_2496,2025-02-23,Critical,Feature Request,18,Open
TCK_900259,CUST_2496,2025-11-29,Low,Feature Request,39,Open
TCK_900260,CUST_2496,2025-09-17,Critical,API Down,49,Closed
TCK_900261,CUST_2501,2025-08-28,Medium,Feature Request,6,Resolved
TCK_900262,CUST_2501,2025-06-08,Low,Feature Request,21,Open
TCK_900263,CUST_2501,2025-05-03,Low,Feature Request,27,Closed
TCK_900265,CUST_2514,2025-07-31,Critical,Login Issue,37,Closed
TCK_900266,CUST_2514,2025-11-18,Medium,Feature Request,15,Resolved
TCK_900267,CUST_2518,2025-08-16,Critical,Feature Request,22,Resolved
TCK_900268,CUST_2518,2025-08-09,Low,Login Issue,9,Resolved
TCK_900269,CUST_2518,2025-11-04,Critical,Billing Bug,1,Open
TCK_900271,CUST_2522,2025-05-07,High,API Down,21,Open
TCK_900272,CUST_2522,2025-10-23,Medium,Feature Request,49,Resolved
TCK_900273,CUST_2522,2025-09-03,Low,Login Issue,3,Resolved
TCK_900274,CUST_2524,2025-09-05,High,Billing Bug,69,Closed
TCK_900275,CUST_2524,2025-12-01,Critical,Feature Request,59,Open
TCK_900276,CUST_2524,2025-04-24,High,Feature Request,1,Resolved
TCK_900277,CUST_2527,2025-06-12,High,Billing Bug,20,Resolved
TCK_900278,CUST_2527,2025-04-17,Critical,Login Issue,58,Open
TCK_900279,CUST_2527,2025-07-21,Low,Login Issue,16,Resolved
TCK_900280,CUST_2528,2025-05-19,Low,Feature Request,47,Open
TCK_900281,CUST_2532,2025-09-10,High,Billing Bug,12,Closed
TCK_900282,CUST_2532,2025-09-26,Low,Feature Request,61,Closed
TCK_900283,CUST_2532,2025-07-21,Critical,Feature Request,34,Open
TCK_900284,CUST_2533,2025-12-12,Critical,Billing Bug,53,Closed
TCK_900285,CUST_2533,2025-10-23,Medium,Billing Bug,38,Open
TCK_900286,CUST_2533,2025-08-06,Medium,Feature Request,9,Open
TCK_900287,CUST_2537,2025-10-20,Low,Feature Request,45,Resolved
TCK_900288,CUST_2537,2025-06-22,High,API Down,27,Closed
TCK_900289,CUST_2540,2025-09-06,Low,Billing Bug,69,Closed
TCK_900290,CUST_2550,2025-11-21,Low,API Down,46,Resolved
TCK_900291,CUST_2550,2025-10-31,High,Billing Bug,61,Resolved
TCK_900292,CUST_2550,2025-09-16,Low,Login Issue,42,Open
TCK_900295,CUST_2552,2025-12-15,High,Login Issue,47,Resolved
TCK_900296,CUST_2553,2025-07-27,Medium,Login Issue,55,Closed
TCK_900297,CUST_2556,2025-02-12,Low,Billing Bug,35,Closed
TCK_900298,CUST_2559,2025-02-28,Low,Billing Bug,46,Closed
TCK_900299,CUST_2560,2025-04-06,High,Feature Request,14,Closed
TCK_900300,CUST_2565,2025-09-27,Low,API Down,18,Resolved
TCK_900301,CUST_2565,2025-04-11,High,Feature Request,2,Resolved
TCK_900302,CUST_2565,2025-08-28,Low,API Down,13,Resolved
TCK_900303,CUST_2566,2025-09-13,Medium,Feature Request,4,Open
TCK_900305,CUST_2576,2025-10-17,Low,Login Issue,22,Open
TCK_900306,CUST_2576,2025-02-15,Medium,Feature Request,46,Resolved
TCK_900307,CUST_2576,2025-08-22,Medium,Billing Bug,57,Resolved
TCK_900308,CUST_2578,2025-02-28,Critical,Login Issue,65,Resolved
TCK_900309,CUST_2580,2025-05-13,High,API Down,19,Closed
TCK_900310,CUST_2580,2025-10-02,Low,Feature Request,8,Closed
TCK_900311,CUST_2586,2025-02-25,High,Billing Bug,66,Open
TCK_900312,CUST_2586,2025-08-28,High,Billing Bug,50,Open
TCK_900313,CUST_2586,2025-05-06,Critical,Billing Bug,68,Resolved
TCK_900314,CUST_2587,2025-12-13,Critical,API Down,27,Resolved
TCK_900315,CUST_2587,2025-08-08,High,Feature Request,40,Open
TCK_900316,CUST_2598,2025-11-09,High,Feature Request,5,Resolved
TCK_900317,CUST_2598,2025-04-12,Low,API Down,15,Resolved
TCK_900318,CUST_2598,2025-09-11,Medium,Feature Request,45,Resolved
TCK_900319,CUST_2599,2025-09-01,Low,Feature Request,36,Resolved
TCK_900320,CUST_2600,2025-07-07,Low,API Down,59,Closed
TCK_900321,CUST_2600,2025-10-29,High,Login Issue,4,Resolved
TCK_900322,CUST_2601,2025-04-15,High,API Down,56,Resolved
TCK_900323,CUST_2601,2025-10-28,Critical,Billing Bug,38,Closed
TCK_900324,CUST_2601,2025-04-20,Medium,Billing Bug,44,Closed
TCK_900325,CUST_2605,2025-10-11,Low,Billing Bug,17,Resolved
TCK_900326,CUST_2609,2025-09-07,High,Login Issue,5,Closed
TCK_900327,CUST_2611,2025-11-12,High,Login Issue,34,Resolved
TCK_900328,CUST_2612,2025-04-17,Low,Feature Request,21,Closed
TCK_900329,CUST_2616,2025-03-29,Critical,Login Issue,24,Closed
TCK_900330,CUST_2616,2025-02-23,High,Login Issue,65,Open
TCK_900331,CUST_2623,2025-03-27,Critical,Billing Bug,43,Resolved
TCK_900332,CUST_2626,2025-08-18,Critical,Feature Request,70,Closed
TCK_900333,CUST_2626,2025-02-11,Critical,Login Issue,23,Open
TCK_900334,CUST_2629,2025-11-27,Critical,Billing Bug,27,Closed
TCK_900335,CUST_2629,2025-10-28,Low,Billing Bug,37,Resolved
TCK_900336,CUST_2629,2025-12-09,High,Login Issue,21,Open
TCK_900337,CUST_2633,2025-10-14,High,Billing Bug,66,Open
TCK_900338,CUST_2640,2025-10-21,Critical,API Down,28,Resolved
TCK_900339,CUST_2640,2025-04-15,Medium,Login Issue,37,Open
TCK_900340,CUST_2640,2025-10-29,High,Login Issue,20,Open
TCK_900341,CUST_2644,2025-02-03,Critical,Billing Bug,26,Closed
TCK_900342,CUST_2644,2025-06-18,Critical,Login Issue,43,Resolved
TCK_900343,CUST_2647,2025-06-05,Low,Billing Bug,4,Open
TCK_900344,CUST_2647,2025-05-24,Low,API Down,33,Resolved
TCK_900345,CUST_2647,2025-06-29,Critical,API Down,40,Closed
TCK_900348,CUST_2651,2025-10-31,High,API Down,6,Open
TCK_900349,CUST_2651,2025-08-27,Critical,Billing Bug,29,Resolved
TCK_900350,CUST_2655,2025-11-17,Low,Billing Bug,38,Open
TCK_900351,CUST_2655,2025-05-26,High,API Down,48,Resolved
TCK_900352,CUST_2660,2025-02-16,Critical,Billing Bug,69,Open
TCK_900353,CUST_2660,2025-11-18,Critical,Billing Bug,26,Closed
TCK_900354,CUST_2663,2025-08-28,Medium,Billing Bug,49,Open
TCK_900355,CUST_2663,2025-06-18,Medium,Billing Bug,64,Closed
TCK_900356,CUST_2664,2025-11-29,Low,API Down,31,Closed
TCK_900357,CUST_2669,2025-10-20,Medium,API Down,35,Resolved
TCK_900358,CUST_2669,2025-05-05,High,Billing Bug,41,Closed
TCK_900359,CUST_2669,2025-05-14,Medium,Feature Request,28,Resolved
TCK_900360,CUST_2670,2025-10-01,High,Feature Request,46,Closed
TCK_900361,CUST_2670,2025-05-04,High,API Down,26,Open
TCK_900362,CUST_2673,2025-05-28,Medium,Billing Bug,24,Closed
TCK_900363,CUST_2673,2025-02-08,Low,Login Issue,52,Open
TCK_900364,CUST_2673,2025-02-03,High,Login Issue,17,Open
TCK_900365,CUST_2682,2025-05-18,Medium,Feature Request,4,Closed
TCK_900366,CUST_2686,2025-07-17,Critical,API Down,46,Open
TCK_900367,CUST_2687,2025-03-28,High,Billing Bug,30,Resolved
TCK_900368,CUST_2687,2025-11-14,Medium,Feature Request,59,Closed
TCK_900369,CUST_2687,2025-03-31,Medium,Billing Bug,45,Open
TCK_900370,CUST_2695,2025-03-01,High,Feature Request,67,Closed
TCK_900371,CUST_2700,2025-04-16,Critical,Billing Bug,40,Resolved
TCK_900372,CUST_2700,2025-12-17,Low,Feature Request,45,Open
TCK_900373,CUST_2700,2025-05-21,Medium,Feature Request,46,Resolved
TCK_900374,CUST_2702,2025-05-10,Low,Billing Bug,18,Resolved
TCK_900375,CUST_2702,2025-09-22,Low,Billing Bug,49,Closed
TCK_900376,CUST_2702,2025-09-22,Critical,Login Issue,14,Open
TCK_900377,CUST_2703,2025-07-16,High,Login Issue,40,Open
TCK_900378,CUST_2703,2025-05-13,High,API Down,20,Open
TCK_900379,CUST_2706,2025-10-14,High,Login Issue,47,Resolved
TCK_900380,CUST_2706,2025-10-20,Medium,API Down,66,Closed
TCK_900381,CUST_2706,2025-11-17,High,Feature Request,29,Closed
TCK_900382,CUST_2707,2025-11-12,Medium,Login Issue,32,Open
TCK_900383,CUST_2707,2025-03-22,Medium,Feature Request,65,Closed
TCK_900384,CUST_2709,2025-03-08,High,Billing Bug,70,Open
TCK_900385,CUST_2718,2025-02-23,High,Billing Bug,53,Resolved
TCK_900386,CUST_2718,2025-07-26,Medium,API Down,33,Open
TCK_900387,CUST_2718,2025-11-02,Critical,Login Issue,69,Closed
TCK_900388,CUST_2722,2025-09-24,Medium,API Down,50,Resolved
TCK_900389,CUST_2722,2025-07-17,Critical,Feature Request,55,Open
TCK_900390,CUST_2722,2025-10-29,Medium,Feature Request,37,Open
TCK_900391,CUST_2723,2025-04-11,Low,Feature Request,22,Closed
TCK_900392,CUST_2732,2025-07-06,Low,Feature Request,11,Closed
TCK_900393,CUST_2735,2025-04-07,Low,Login Issue,47,Open
TCK_900394,CUST_2735,2025-04-13,High,Login Issue,41,Open
TCK_900395,CUST_2737,2025-04-25,High,Billing Bug,26,Resolved
TCK_900396,CUST_2737,2025-02-23,Critical,API Down,44,Closed
TCK_900397,CUST_2739,2025-02-24,Low,Login Issue,51,Closed
TCK_900398,CUST_2739,2025-07-15,Low,Billing Bug,26,Closed
TCK_900401,CUST_2747,2025-09-26,Low,API Down,26,Closed
TCK_900402,CUST_2747,2025-09-13,High,Feature Request,52,Open
TCK_900403,CUST_2747,2025-02-21,Critical,Login Issue,66,Resolved
TCK_900404,CUST_2754,2025-04-17,Medium,API Down,4,Closed
TCK_900405,CUST_2754,2025-10-17,Low,API Down,5,Closed
TCK_900406,CUST_2754,2025-02-21,Medium,API Down,68,Closed
TCK_900407,CUST_2763,2025-05-02,Medium,API Down,35,Open
TCK_900409,CUST_2775,2025-11-13,Critical,API Down,2,Open
TCK_900410,CUST_2775,2025-03-29,Critical,Login Issue,63,Closed
TCK_900411,CUST_2775,2025-03-09,Critical,Feature Request,19,Resolved
TCK_900412,CUST_2776,2025-02-02,Low,API Down,53,Resolved
TCK_900413,CUST_2776,2025-11-24,Low,Feature Request,56,Resolved
TCK_900414,CUST_2776,2025-05-01,High,API Down,18,Closed
TCK_900417,CUST_2783,2025-05-30,Low,Billing Bug,41,Open
TCK_900418,CUST_2783,2025-04-11,High,Login Issue,11,Closed
TCK_900419,CUST_2783,2025-05-12,Critical,Login Issue,16,Resolved
TCK_900420,CUST_2784,2025-02-26,High,API Down,33,Closed
